UserId, FirstName, LastName, Country, PhoneNum, Email, SIN, Password, 
1, Annelise, Tschersich, Serbia, 219-8799, atschersich@tin.it, 272190528, X%:iuW{d=, 
2, Patricia, Verny, Jamaica, 444-9700, pverny@rambler.ru, 744834684, UfnQN}g)Cqi(A, 
3, Aloysius, Kuhnt, Chad, 270-6977, akuhnt@tin.it, 161204105, ;mUMN~kVeXFL, 
4, Britney, Leibold, Uruguay, 398-3963, bleibold@yahoo.co.in, 447412082, (_-LYQE>(t:\b, 
5, Cary, Selwin, Lesotho, 219-9335, cselwin@sbcglobal.net, 640106892, bodt&_n, 
6, Etta, Sharpus, Vietnam, 398-1699, esharpus@virgilio.it, 975470641, lp)te\kceu/D&eL, 
7, Philippine, June, Kiribati, 398-7564, pjune@yahoo.com.sg, 550395738, :9!:0"!ymp#|p_, 
8, Ofelia, Sherborne, Venezuela, 925-8155, osherborne@tiscali.it, 140700573, jCFAe|8g)k;C@JD, 
9, Barb, June, Zimbabwe, 398-9651, bjune@virgilio.it, 781928291, N;HDYaBD?g~?d, 
10, Basia, Leftly, Tanzania, 429-3811, bleftly@zonnet.nl, 318186733, )7enaaS}=<*W}M1`, 
11, Joceline, O'Neill, Guyana, 429-5880, jo'neill@laposte.net, 383467324, yv3V[*]cA], 
12, Arther, Knowlden, Italy, 908-7698, aknowlden@ntlworld.com, 400977805, M[FxVOg, 
13, Patricio, Biset, Slovenia, 867-6179, pbiset@uol.com.br, 904046007, NO{WGy3%MP]), 
14, Birch, Quinevan, Kazakhstan, 270-9833, bquinevan@frontiernet.net, 607611410, Kt{VO), 
15, Jean, Janacek, Benin, 444-2462, jjanacek@voila.fr, 967874951, I^L\}4G, 
16, Kassie, Ramsey, Czechia (Czech Republic), 270-1294, kramsey@hetnet.nl, 372327630, EB!A3iIfcl, 
17, Nico, Parysiak, Georgia, 444-7358, nparysiak@charter.net, 422343444, ~wf`n=G9X.cO, 
18, Homerus, Tranfield, Palestine State, 398-3549, htranfield@hotmail.de, 887660056, ?"5mUsn[7, 
